Brewery Name,City,State,Country,Year Established,In Business?,Closed?
Chapman's Brewing Company,Fort Wayne,Indiana,UNITED STATES,2012,Y,N
Check Six Brewing Company,Southport,North Carolina,UNITED STATES,2012,Y,N
Fortnight Brewing,Cary,North Carolina,UNITED STATES,2012,Y,N
Ghost Town Brewing,Oakland,California,UNITED STATES,2012,Y,N
Great Raft Brewing,Shreveport,Louisiana,UNITED STATES,2012,Y,N
Harmony Eastown,Grand Rapids,Michigan,UNITED STATES,2012,Y,N
Los Angeles - The Dankness Dojo,Los Angeles,California,UNITED STATES,2012,Y,N
Main Brewery,Rosholt,Wisconsin,UNITED STATES,2012,Y,N
Main Brewery,Memphis,Tennessee,UNITED STATES,2012,Y,N
Main Brewery,Nederland,Colorado,UNITED STATES,2012,Y,N
Main Brewery,Colorado Springs,Colorado,UNITED STATES,2012,Y,N
Main Brewery,Evansville,Indiana,UNITED STATES,2012,Y,N
Main Brewery,Temecula,California,UNITED STATES,2012,Y,N
Main Brewery,Walnut Creek,California,UNITED STATES,2012,Y,N
Main Brewery,Columbia,South Carolina,UNITED STATES,2012,Y,N
Main Brewery,Jackson,Wyoming,UNITED STATES,2012,Y,N
Main Brewery,San Jose,California,UNITED STATES,2012,Y,N
Main Brewery,Sunriver,Oregon,UNITED STATES,2012,Y,N
Main Brewery,Ava,Illinois,UNITED STATES,2012,N,Y
Main Brewery,Portales,New Mexico,UNITED STATES,2012,Y,N
Main Brewery,Wauwatosa,Wisconsin,UNITED STATES,2012,Y,N
Main Brewery,Kelseyville,California,UNITED STATES,2012,Y,N
Main Brewery,Angola,Indiana,UNITED STATES,2012,Y,N
Main Brewery,Portland,Oregon,UNITED STATES,2012,Y,N
Main Brewery,Portland,Oregon,UNITED STATES,2012,Y,N
Main Brewery,Carlsbad,California,UNITED STATES,2012,Y,N
Main Brewery,Marshalltown,Iowa,UNITED STATES,2012,Y,N
Main Brewery,Roscoe,New York,UNITED STATES,2012,Y,N
Main Brewery,Lewistown,Pennsylvania,UNITED STATES,2012,Y,N
Main Brewery,Carbondale,Pennsylvania,UNITED STATES,2012,N,Y
Main Brewery,Thousand Oaks,California,UNITED STATES,2012,Y,N
Main Brewery,Omaha,Nebraska,UNITED STATES,2012,Y,N
Main Brewery,Canterbury,New Hampshire,UNITED STATES,2012,Y,N
Main Brewery,Vista,California,UNITED STATES,2012,Y,N
Main Brewery,Salisbury,North Carolina,UNITED STATES,2012,Y,N
Main Brewery,Mount Airy,Maryland,UNITED STATES,2012,Y,N
Main Brewery,Centerville,Ohio,UNITED STATES,2012,Y,N
Main Brewery,Austin,Texas,UNITED STATES,2012,Y,N
Main Brewery,Speedway,Indiana,UNITED STATES,2012,Y,N
Main Brewery,Marion,Wisconsin,UNITED STATES,2012,Y,N
Addison,Addison,Texas,UNITED STATES,2013,Y,N
Adventure Brewing North,Fredericksburg,Virginia,UNITED STATES,2013,Y,N
Adventure Brewing South,Fredericksburg,Virginia,UNITED STATES,2013,Y,N
Addison,Addison,Texas,UNITED STATES,2013,Y,N
Adventure Brewing North,Fredericksburg,Virginia,UNITED STATES,2013,Y,N
Adventure Brewing South,Fredericksburg,Virginia,UNITED STATES,2013,Y,N
Austin,Austin,Texas,UNITED STATES,2013,Y,N
Bravo Zulu Brewing,N Williamsburg,Michigan,UNITED STATES,2013,N,Y
Brewpub,Boulder,Colorado,UNITED STATES,2013,N,Y
Broken Plow Brewery,Greeley,Colorado,UNITED STATES,2013,Y,N
Brotherhood Winery,Washingtonville,New York,UNITED STATES,2013,Y,N
Bur Oak Brewing Company,Columbia,Missouri,UNITED STATES,2013,Y,N
Canton Tasting Room,Canton,Massachusetts,UNITED STATES,2013,Y,N
Champaign,Champaign,Illinois,UNITED STATES,2013,Y,N
Forbidden Root Restaurant & Brewery,Chicago,Illinois,UNITED STATES,2013,Y,N
Fort Point Beer Company,San Francisco,California,UNITED STATES,2013,Y,N
Fort Point Beer Company,Oakland,California,UNITED STATES,2013,Y,N
Fort Worth Fossil Creek,Fort Worth,Texas,UNITED STATES,2013,Y,N
Frisco,Frisco,Texas,UNITED STATES,2013,Y,N
From The Barrel Brewing Company,Londonderry,New Hampshire,UNITED STATES,2013,Y,N
Front Range Brewing Company Taproom,Lafayette,Colorado,UNITED STATES,2013,Y,N
Gravel Bottom Craft Brewery & Supply,Ada,Michigan,UNITED STATES,2013,Y,N
Harker Heights,Harker Heights,Texas,UNITED STATES,2013,Y,N
Heritage Brewing Co.,Manassas,Virginia,UNITED STATES,2013,Y,N
Intermission Beer Company,Glen Allen,Virginia,UNITED STATES,2013,Y,N
Lewisville,Lewisville,Texas,UNITED STATES,2013,Y,N
Logan Tasting Room,San Diego,California,UNITED STATES,2013,Y,N
Lowercase Brewing - Production Facility,Seattle,Washington,UNITED STATES,2013,Y,N
Lowercase Brewing - Taproom,Seattle,Washington,UNITED STATES,2013,Y,N
Main Brewery,Miami,Florida,UNITED STATES,2013,Y,N
Main Brewery,Louisville,Colorado,UNITED STATES,2013,Y,N
Main Brewery,St. Louis,Missouri,UNITED STATES,2013,Y,N
Main Brewery,Big Flat,Arkansas,UNITED STATES,2013,Y,N
Main Brewery,Hill City,South Dakota,UNITED STATES,2013,Y,N
Main Brewery,Hayden,Idaho,UNITED STATES,2013,Y,N
Main Brewery,Bessemer City,North Carolina,UNITED STATES,2013,Y,N
Main Brewery,Poughkeepsie,New York,UNITED STATES,2013,Y,N
Main Brewery,Lewisville,Texas,UNITED STATES,2013,N,Y
Main Brewery,Phoenix,Arizona,UNITED STATES,2013,Y,N
Main Brewery,Warrenton,Virginia,UNITED STATES,2013,Y,N
Main Brewery,Eureka,Montana,UNITED STATES,2013,Y,N
Main Brewery,Firestone,Colorado,UNITED STATES,2013,Y,N
Main Brewery,Los Angeles,California,UNITED STATES,2013,Y,N
Main Brewery,San Diego,California,UNITED STATES,2013,Y,N
Main Brewery,Las Vegas,Nevada,UNITED STATES,2013,Y,N
Main Brewery,Rocklin,California,UNITED STATES,2013,Y,N
Main Brewery,San Antonio,Texas,UNITED STATES,2013,Y,N
Main Brewery,Chicago,Illinois,UNITED STATES,2013,N,Y
Main Brewery,Delray Beach,Florida,UNITED STATES,2013,Y,N
Main Brewery,Gilbert,Arizona,UNITED STATES,2013,Y,N
Main Brewery,South Dennis,Massachusetts,UNITED STATES,2013,Y,N
Main Brewery,Cincinnati,Ohio,UNITED STATES,2013,Y,N
Main Brewery,Santa Clarita,California,UNITED STATES,2013,Y,N
Main Brewery,Torrance,California,UNITED STATES,2013,Y,N
Main Brewery,Rincon,Puerto Rico,UNITED STATES,2013,Y,N
4 Seasons Brewery,Lapeer,Michigan,UNITED STATES,2014,Y,N
810 Meadworks,Medina,New York,UNITED STATES,2014,Y,N
84th Street Brewing Company,Lake Stevens,Washington,UNITED STATES,2014,Y,N
127 Brewing,Jackson,Michigan,UNITED STATES,2014,Y,N
4 Seasons Brewery,Lapeer,Michigan,UNITED STATES,2014,Y,N
810 Meadworks,Medina,New York,UNITED STATES,2014,Y,N
84th Street Brewing Company,Lake Stevens,Washington,UNITED STATES,2014,Y,N
Angry Horse Brewing,Montebello,California,UNITED STATES,2014,Y,N
Ashuelot Brewing Company,Richmond,New Hampshire,UNITED STATES,2014,Y,N
Baere Brewing Company,Denver,Colorado,UNITED STATES,2014,Y,N
Baffin Brewing Company,St. Clair Shores,Michigan,UNITED STATES,2014,Y,N
Bagby Beer Company,Oceanside,California,UNITED STATES,2014,Y,N
Bluebonnet Beer Company,Round Rock,Texas,UNITED STATES,2014,Y,N
Boochcraft,Chula Vista,California,UNITED STATES,2014,Y,N
Brewpub,Greenwood,South Carolina,UNITED STATES,2014,Y,N
Bridgeport Brewpub,Bridgeport,Pennsylvania,UNITED STATES,2014,Y,N
Clouds Brewing,Durham,North Carolina,UNITED STATES,2014,Y,N
Former Future Brewing Company,Denver,Colorado,UNITED STATES,2014,N,Y
Gift Horse Brewery,York,Pennsylvania,UNITED STATES,2014,Y,N
Gino's East River North,Chicago,Illinois,UNITED STATES,2014,Y,N
Goldspot Brewing Company,Denver,Colorado,UNITED STATES,2014,Y,N
Grayline Brewing Co.,GRAND RAPIDS,Michigan,UNITED STATES,2014,Y,N
Great Flood Production,Louisville,Kentucky,UNITED STATES,2014,Y,N
Main Brewery,Aurora,Colorado,UNITED STATES,2014,N,Y
Main Brewery,Charleston,South Carolina,UNITED STATES,2014,Y,N
Main Brewery,Emmaus,Pennsylvania,UNITED STATES,2014,Y,N
Main Brewery,Ontario,California,UNITED STATES,2014,Y,N
Main Brewery,Charlotte,North Carolina,UNITED STATES,2014,Y,N
Main Brewery,Portland,Oregon,UNITED STATES,2014,Y,N
Main Brewery,Vista,California,UNITED STATES,2014,Y,N
Main Brewery,Highlands,North Carolina,UNITED STATES,2014,Y,N
Main Brewery,Farmingdale,New York,UNITED STATES,2014,Y,N
Main Brewery,Columbia,Missouri,UNITED STATES,2014,Y,N
Main Brewery,Bonita Springs,Florida,UNITED STATES,2014,Y,N
Main Brewery,Phoenix,Arizona,UNITED STATES,2014,Y,N
Main Brewery,San Carlos,California,UNITED STATES,2014,Y,N
Main Brewery,Mooresville,North Carolina,UNITED STATES,2014,Y,N
Main Brewery,East Sacramento,California,UNITED STATES,2014,Y,N
Main Brewery,Fairplay,Colorado,UNITED STATES,2014,Y,N
Main Brewery,Pompano Beach,Florida,UNITED STATES,2014,Y,N
Main Brewery,Carpinteria,California,UNITED STATES,2014,Y,N
Main Brewery,Syracuse,Indiana,UNITED STATES,2014,Y,N
Main Brewery,Howell,Michigan,UNITED STATES,2014,Y,N
Main Brewery,Conshohocken,Pennsylvania,UNITED STATES,2014,Y,N
Main Brewery,Denver,Colorado,UNITED STATES,2014,Y,N
Main Brewery,Aurora,Colorado,UNITED STATES,2014,N,Y
Main Brewery,Colorado Springs,Colorado,UNITED STATES,2014,Y,N
Main Brewery,Houston,Texas,UNITED STATES,2014,Y,N
Main Brewery,Fort Wayne,Indiana,UNITED STATES,2014,Y,N
Main Brewery,Tampa,Florida,UNITED STATES,2014,Y,N
Axle Brewing Company,Ferndale,Michigan,UNITED STATES,2015,Y,N
Badass Backyard CDA,"AveCoeur d'Alene,",Idaho,UNITED STATES,2015,Y,N
Beer Army Outpost,New Bern,North Carolina,UNITED STATES,2015,N,Y
Bircus,Ludlow,Kentucky,UNITED STATES,2015,Y,N
Building 8 Brewing,Florence,Massachusetts,UNITED STATES,2015,Y,N
Bull Durham Beer Company,Durham,North Carolina,UNITED STATES,2015,Y,N
Burnt Marshmallow Brewing @ Rudbeckia Farm Winery,Petoskey,Michigan,UNITED STATES,2015,Y,N
Burt Lake Brewery at Season of the North Winery,Indian River,Michigan,UNITED STATES,2015,Y,N
Canton Brew Works,Canton,Michigan,UNITED STATES,2015,Y,N
Evergreen Tap House,Evergreen,Colorado,UNITED STATES,2015,Y,N
Flying Belgian Brewery,Farmingdale,New York,UNITED STATES,2015,Y,N
Fox Brewing,West Des Moines,Iowa,UNITED STATES,2015,Y,N
Good Ass Beer,Center City,Minnesota,UNITED STATES,2015,Y,N
Grand Armory Brewing,Grand Haven,Michigan,UNITED STATES,2015,Y,N
Grixsen Brewing Co.,Portland,Oregon,UNITED STATES,2015,Y,N
Hillbilly Brewing Company,Ridgefield,Washington,UNITED STATES,2015,Y,N
Jessup Farm Barrel House,Fort Collins,Colorado,UNITED STATES,2015,Y,N
Lord Hobo Brewing Company,Woburn,Massachusetts,UNITED STATES,2015,Y,N
Main,Santa Rosa,California,UNITED STATES,2015,Y,N
Main Brewery,Knoxville,Tennesssee,UNITED STATES,2015,Y,N
Main Brewery,Chama,New Mexico,UNITED STATES,2015,N,Y
Main Brewery,San Antonio,Texas,UNITED STATES,2015,Y,N
Main Brewery,Cullman,Alabama,UNITED STATES,2015,Y,N
Main Brewery,Agoura Hills,California,UNITED STATES,2015,N,Y
Main Brewery,Bozeman,Montana,UNITED STATES,2015,Y,N
Main Brewery,Aston,Pennsylvania,UNITED STATES,2015,Y,N
Main Brewery,Martinsville,Indiana,UNITED STATES,2015,Y,N
Main Brewery,Lewes,Delaware,UNITED STATES,2015,Y,N
Main Brewery,Johns Island,South Carolina,UNITED STATES,2015,Y,N
Main Brewery,Fremont,Michigan,UNITED STATES,2015,N,Y
Main Brewery,Woodland,California,UNITED STATES,2015,Y,N
Main Brewery,Tracy,California,UNITED STATES,2015,Y,N
Main Brewery,Sayre,Pennsylvania,UNITED STATES,2015,Y,N
Main Brewery,Parkersburg,West Virginia,UNITED STATES,2015,Y,N
Main Brewery,Woodbridge,Virginia,UNITED STATES,2015,N,Y
Main Brewery,Pilot Point,Texas,UNITED STATES,2015,Y,N
Main Brewery,Hesperia,California,UNITED STATES,2015,Y,N
4kd Crick Brewery,Defiance,Ohio,UNITED STATES,2016,Y,N
7 Mile Brewery,Rio Grande,New Jersey,UNITED STATES,2016,Y,N
Able Baker Brewing Company,Henderson,Nevada,UNITED STATES,2016,Y,N
Accomplice Beer Company,Cheyenne,Wyoming,UNITED STATES,2016,Y,N
4kd Crick Brewery,Defiance,Ohio,UNITED STATES,2016,Y,N
7 Mile Brewery,Rio Grande,New Jersey,UNITED STATES,2016,Y,N
Able Baker Brewing Company,Henderson,Nevada,UNITED STATES,2016,Y,N
Accomplice Beer Company,Cheyenne,Wyoming,UNITED STATES,2016,Y,N
Altstadt Brewery,Frederikdsburg,Texas,UNITED STATES,2016,Y,N
Aqua,San Marcos,Texas,UNITED STATES,2016,Y,N
Atwood Ales Farm Brewery,Blaine,Washington,UNITED STATES,2016,Y,N
Bière de Mac Brew Works,Mackinaw City,Michigan,UNITED STATES,2016,Y,N
Brick Works Brewing and Eats,Smyrna,Deleware,UNITED STATES,2016,Y,N
Centerpoint Brewing,Indianapolis,Indiana,UNITED STATES,2016,Y,N
Cobblehaus Brewing Company,Coraopolis,Pennsylvania,UNITED STATES,2016,Y,N
Four Eyed Guys Brewing,Spokane,Washington,UNITED STATES,2016,Y,N
Frogtown Brewery,Los Angeles,California,UNITED STATES,2016,Y,N
Golden Fox Brewing,Illiopolis,Illinois,UNITED STATES,2016,Y,N
Great Notion Taproom,Portland,Oregon,UNITED STATES,2016,Y,N
Haint Blue Brewing Company,Mobile,Alabama,UNITED STATES,2016,Y,N
Heaven's Gate Brewery,Riggins,Idaho,UNITED STATES,2016,Y,N
Lo Rez Brewing and Taproom,Chicago,Illinois,UNITED STATES,2016,Y,N
Longship Brewery,San Diego,California,UNITED STATES,2016,Y,N
Mad Swede Brewing,Boise,Idaho,UNITED STATES,2016,Y,N
Main  Brewery,Oceanside,California,UNITED STATES,2016,Y,N
Main Brewery,Cary,North Carolina,UNITED STATES,2016,Y,N
Main Brewery,Pueblo,Colorado,UNITED STATES,2016,Y,N
Main Brewery,Benton Harbor,Michigan,UNITED STATES,2016,Y,N
Main Brewery,Moscow,Idaho,UNITED STATES,2016,Y,N
Main Brewery,San Diego,California,UNITED STATES,2016,Y,N
Main Brewery,Winchester,Virginia,UNITED STATES,2016,Y,N
Main Brewery,Phoenix,Arizona,UNITED STATES,2016,Y,N
Main Brewery,Salt Lake City,Utah,UNITED STATES,2016,Y,N
Main Brewery,Cedar Rapids,Iowa,UNITED STATES,2016,Y,N
Main Brewery,Lakeville,Minnesota,UNITED STATES,2016,Y,N
Main Brewery,Hector,New York,UNITED STATES,2016,Y,N
Main Brewery,Tinley Park,illinois,UNITED STATES,2016,Y,N
Main Brewery,San Clemente,California,UNITED STATES,2016,Y,N
Main Brewery,Rehoboth Beach,Delaware,UNITED STATES,2016,Y,N
Main Brewery,Taylors,South Carolina,UNITED STATES,2016,Y,N
Aberrant Ales,Howell,Michigan,UNITED STATES,2017,Y,N
Adobe Creek Brewing Company,Novato,California,UNITED STATES,2017,Y,N
Aberrant Ales,Howell,Michigan,UNITED STATES,2017,Y,N
Acopon Brewing Company,Dripping Springs,Texas,UNITED STATES,2017,Y,N
Adobe Creek Brewing Company,Novato,California,UNITED STATES,2017,Y,N
Aegir Brewing Co,Elk River,Minnesota,UNITED STATES,2017,Y,N
AleCraft Brewery,Bel Air,Maryland,UNITED STATES,2017,Y,N
All-Wise Meadery,Brooklyn,New York,UNITED STATES,2017,Y,N
"Biker Brewhouse, LLC",Youngstown,Ohio,UNITED STATES,2017,Y,N
Boss Dog Brewing Company,Cleveland Heights,Ohio,UNITED STATES,2017,Y,N
Brass Ring Brewing,Grand Rapids,Michigan,UNITED STATES,2017,Y,N
Button Brew House,Marana,Arizona,UNITED STATES,2017,Y,N
Captain's Brewing Company,Ridgefield,Washington,UNITED STATES,2017,Y,N
Caracara Brewing Company,Lockhart,Texas,UNITED STATES,2017,Y,N
Fretboard Brewing Company,Blue Ash,Ohio,UNITED STATES,2017,Y,N
Front Royal Brewing Co.,Front Royal,Virginia,UNITED STATES,2017,Y,N
Garden Path Fermentation,Burlignton,Washington,UNITED STATES,2017,Y,N
Greenwood Brewing,Phoenix,Arizona,UNITED STATES,2017,Y,N
Lawrence Beer Company,Lawrence,Kansas,UNITED STATES,2017,Y,N
Long Beach,Long Beach,California,UNITED STATES,2017,Y,N
Long Table Brewhouse,Denver,Colorado,UNITED STATES,2017,Y,N
Main Brewery,Clarksville,Tennessee,UNITED STATES,2017,Y,N
Main Brewery,Minnetonka,Minnesota,UNITED STATES,2017,Y,N
Main Brewery,Chicago,Illinois,UNITED STATES,2017,Y,N
Main Brewery,Farmville,Virginia,UNITED STATES,2017,Y,N
Main Brewery,Largo,Florida,UNITED STATES,2017,N,Y
Main Brewery,Williamsport,Pennsylvania,UNITED STATES,2017,Y,N
Main Brewery,Austin,Texas,UNITED STATES,2017,Y,N
Main Brewery,Pensacola,Florida,UNITED STATES,2017,Y,N
Alaro Craft Brewery,Sacramento,California,UNITED STATES,2018,Y,N
Alaro Craft Brewery,Sacramento,California,UNITED STATES,2018,Y,N
Angry James Brewery,Silverthorne,Colorado,UNITED STATES,2018,Y,N
Brews Angels Brewery,Milton,Florida,UNITED STATES,2018,Y,N
BruWorx Mead & Cider,Troy,Michigan,UNITED STATES,2018,Y,N
Burns Family Artisan Ales,Denver,Colorado,UNITED STATES,2018,Y,N
Flyover Brewing Company,Scottsbluff,Nebraska,UNITED STATES,2018,Y,N
Fort Brewery and Pizza,Fort Worth,Texas,UNITED STATES,2018,Y,N
Garrett's Brewery Company,Trumansburg,New York,UNITED STATES,2018,Y,N
Imperial Western Beer Company,Los Angeles,California,UNITED STATES,2018,Y,N
Look Long Brewing Company,POrtland,Oregon,UNITED STATES,2018,Y,N
Mad Paddle Brewery,Madison,Indiana,UNITED STATES,2018,Y,N
Main Brewery,Clarksville,Tennessee,UNITED STATES,2018,Y,N
Main Brewery,San Diego,California,UNITED STATES,2018,Y,N
Main Brewery,Albion,Michigan,UNITED STATES,2018,Y,N
Main Brewery,Alexandria,Louisiana,UNITED STATES,2018,Y,N
Main Brewery,Dallas,Texas,UNITED STATES,2018,Y,N
Main Brewery,Burbank,California,UNITED STATES,2018,Y,N
Main Brewery,Greeley,Colorado,UNITED STATES,2018,Y,N
